,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
331,13950,,32941.0,Petrol,110.0,1.0,0,1600,5,1080
332,11950,38.0,32781.0,,110.0,0.0,0,1600,5,1075
333,11750,40.0,32532.0,,110.0,1.0,0,1600,3,1040
334,12400,34.0,32431.0,,97.0,1.0,0,1400,5,1060
341,11950,44.0,29716.0,,110.0,1.0,1,1600,3,1070
342,14950,42.0,29640.0,Petrol,110.0,,0,1600,3,1055
347,13750,38.0,28150.0,Petrol,110.0,,0,1600,5,1075
348,12950,43.0,27301.0,,110.0,1.0,0,1600,3,1040
355,13750,39.0,25062.0,Petrol,110.0,,0,1600,5,1080
357,14990,,24650.0,Petrol,110.0,1.0,0,1600,3,1055
359,14350,41.0,24475.0,Petrol,110.0,,0,1600,5,1030
360,12950,39.0,24444.0,Petrol,110.0,,0,1600,3,1040
365,10500,41.0,22780.0,Petrol,86.0,,0,1300,5,1035
372,11950,40.0,17051.0,,97.0,0.0,0,1400,5,1060
382,8900,45.0,174000.0,Diesel,69.0,,0,1900,5,1095
389,9450,,138394.0,Diesel,69.0,1.0,0,1900,4,1095
390,7750,55.0,137000.0,Diesel,72.0,,0,2000,5,1135
395,9000,48.0,119742.0,,110.0,1.0,0,1600,5,1080
397,12450,47.0,117430.0,Diesel,90.0,,0,2000,3,1165
398,10500,55.0,,Petrol,110.0,1.0,0,1600,4,1035
404,9450,,104805.0,Petrol,97.0,1.0,0,1400,3,1025
406,10950,51.0,103018.0,,69.0,0.0,0,1900,5,1140
407,11900,47.0,102352.0,,110.0,1.0,0,1600,5,1080
411,10950,52.0,99323.0,Petrol,110.0,,0,1600,3,1055
412,8950,48.0,98100.0,,69.0,1.0,0,1900,5,1140
420,10500,49.0,91340.0,,110.0,1.0,0,1600,3,1055
429,12950,50.0,83106.0,,110.0,1.0,0,1600,5,1075
438,10250,55.0,77780.0,Petrol,110.0,,0,1600,3,1040
440,11950,54.0,77270.0,,110.0,1.0,0,1600,4,1035
453,12000,,73000.0,Petrol,110.0,0.0,0,1600,3,1055
454,11950,50.0,72242.0,Petrol,110.0,,1,1600,3,1070
456,10950,,71725.0,Petrol,110.0,1.0,0,1600,4,1035
457,10950,,71276.0,Petrol,110.0,0.0,0,1600,5,1080
458,8695,,70440.0,Diesel,69.0,1.0,0,1900,3,1105
464,8750,49.0,68565.0,Petrol,110.0,,0,1600,4,1030
465,11450,,68520.0,Diesel,72.0,1.0,0,2000,3,1115
474,10450,48.0,64193.0,Petrol,110.0,,0,1600,3,1040
480,11500,,63000.0,Diesel,69.0,1.0,0,1900,5,1140
481,11500,,63000.0,Petrol,110.0,0.0,0,1600,4,1035
485,10500,50.0,62280.0,Petrol,97.0,,0,1400,5,1060
486,10750,50.0,61672.0,Petrol,110.0,,0,1600,5,1075
491,10750,54.0,,Petrol,110.0,1.0,0,1600,5,1075
494,11950,54.0,58745.0,,110.0,1.0,0,1600,4,1035
503,9990,,56743.0,Petrol,110.0,0.0,0,1600,3,1045
512,13950,51.0,53268.0,Petrol,110.0,,0,1600,5,1080
526,11450,,49417.0,Petrol,110.0,1.0,0,1600,3,1045
529,13750,,48370.0,Petrol,110.0,1.0,0,1600,5,1080
531,10250,54.0,47852.0,,110.0,1.0,0,1600,4,1030
532,10850,54.0,47768.0,Petrol,110.0,,0,1600,3,1055
539,11750,,46449.0,Petrol,110.0,1.0,0,1600,4,1035
547,9950,55.0,44537.0,,97.0,0.0,0,1400,3,1025
548,10750,56.0,43700.0,,86.0,,0,1300,3,1025
553,10995,,41273.0,Petrol,97.0,0.0,0,1400,5,1060
554,11950,49.0,40836.0,Petrol,110.0,,1,1600,3,1075
557,13750,54.0,40325.0,,86.0,0.0,0,1300,5,1045
565,10900,54.0,37000.0,,97.0,1.0,0,1400,3,1025
569,13000,,36000.0,Petrol,110.0,0.0,0,1600,5,1080
572,10950,,35230.0,Petrol,97.0,0.0,0,1400,3,1025
574,9980,49.0,34890.0,Petrol,97.0,,0,1400,3,1025
579,11900,46.0,33021.0,,110.0,1.0,0,1600,5,1080
581,10500,,31579.0,Petrol,97.0,0.0,0,1400,3,1025
586,9950,,29650.0,Petrol,86.0,,0,1300,3,1025
594,10800,50.0,22500.0,Petrol,97.0,,0,1400,3,1025
596,10450,50.0,17619.0,,110.0,,0,1600,4,1030
597,10600,51.0,17069.0,Petrol,97.0,,0,1400,3,1025
600,11250,47.0,5309.0,Petrol,110.0,,1,1600,3,1070
602,8950,52.0,31000.0,,97.0,,0,1398,3,1025
604,7900,68.0,204250.0,Diesel,72.0,,0,2000,3,1115
610,6950,68.0,155720.0,Petrol,86.0,,0,1300,3,1015
611,7950,67.0,155500.0,,110.0,1.0,0,1600,5,1050
616,9500,62.0,147636.0,,72.0,,0,2000,5,1135
618,8450,64.0,144000.0,,110.0,1.0,0,1600,3,1065
631,8950,67.0,127000.0,Diesel,,1.0,0,2000,5,1135
638,10450,64.0,120400.0,,,0.0,0,1600,5,1090
641,8950,68.0,119500.0,Petrol,110.0,,0,1600,5,1070
650,9450,60.0,115191.0,CNG,110.0,,0,1600,4,1079
653,9950,64.0,114846.0,,110.0,1.0,0,1600,5,1075
664,9950,62.0,109547.0,Petrol,110.0,,0,1600,5,1075
671,8500,,105000.0,Petrol,86.0,0.0,0,1300,5,1040
674,6900,,104000.0,Petrol,86.0,1.0,0,1300,3,1015
676,9500,,103400.0,Petrol,110.0,1.0,0,1600,5,1075
685,8950,61.0,100748.0,Petrol,110.0,,0,1600,5,1070
689,9250,65.0,98500.0,Petrol,110.0,,0,1600,5,1075
692,9950,,97425.0,Petrol,110.0,1.0,0,1600,5,1075
696,12250,,96000.0,,72.0,,0,2000,4,1100
698,10250,61.0,95147.0,,110.0,1.0,0,1600,3,1050
699,8950,,95000.0,,110.0,0.0,0,1600,3,1050
702,8250,63.0,94504.0,,86.0,1.0,0,1300,4,1000
704,8450,65.0,93408.0,,86.0,0.0,0,1300,3,1015
708,9500,61.0,92498.0,Petrol,110.0,,0,1600,3,1050
710,9900,,91505.0,Diesel,72.0,0.0,0,2000,3,1115
711,8250,,91333.0,Petrol,110.0,1.0,0,1600,3,1050
712,8750,,91246.0,Petrol,86.0,1.0,0,1300,3,1015
713,9500,58.0,91000.0,Petrol,110.0,,0,1600,5,1075
724,6900,62.0,88000.0,,86.0,0.0,0,1300,3,1020
727,8900,59.0,86888.0,Petrol,110.0,,0,1600,3,1050
730,11500,65.0,85889.0,Petrol,110.0,,0,1600,3,1065
735,10450,62.0,84549.0,Petrol,110.0,,0,1600,5,1075
744,7450,65.0,82000.0,Petrol,86.0,,0,1300,3,1015
745,8450,68.0,81965.0,Petrol,86.0,,0,1300,5,1035
746,8250,,81250.0,Petrol,110.0,0.0,0,1600,3,1050
751,10950,57.0,80470.0,,110.0,0.0,0,1600,5,1085
754,9950,,80426.0,Petrol,110.0,1.0,0,1600,3,1055
755,8750,62.0,80265.0,,86.0,0.0,0,1300,3,1015
759,10950,62.0,80000.0,Petrol,110.0,,0,1600,5,1075
760,7950,60.0,80000.0,,86.0,0.0,0,1300,5,1015
772,9500,,78063.0,Petrol,107.0,,1,1600,5,1100
773,10950,,77821.0,Petrol,110.0,1.0,0,1600,5,1075
774,9750,68.0,77695.0,Petrol,110.0,,0,1600,4,1035
786,9950,,75429.0,Petrol,110.0,1.0,0,1600,3,1065
792,7750,,74875.0,Petrol,110.0,0.0,0,1600,5,1070
793,8950,63.0,74747.0,,110.0,1.0,0,1600,5,1075
794,11950,60.0,74720.0,Petrol,110.0,,0,1600,5,1085
798,9950,64.0,74193.0,Petrol,110.0,,0,1600,3,1050
804,8900,,73300.0,Petrol,86.0,1.0,0,1300,3,1015
805,9500,,73172.0,Petrol,110.0,1.0,0,1600,5,1075
812,8950,65.0,71317.0,Petrol,110.0,,0,1600,3,1050
830,8950,63.0,68453.0,,110.0,1.0,0,1600,5,1070
835,9750,67.0,67762.0,,110.0,,0,1600,3,1065
838,9950,59.0,67010.0,,110.0,1.0,0,1600,3,1065
843,9250,62.0,66082.0,Petrol,110.0,,0,1600,5,1070
847,10950,67.0,65785.0,Petrol,110.0,,0,1600,5,1075
848,9950,65.0,65513.0,Petrol,110.0,,1,1600,4,1070
849,9950,59.0,65463.0,,110.0,1.0,0,1600,5,1070
850,8100,,65400.0,Petrol,86.0,1.0,0,1300,4,1000
854,8950,57.0,65000.0,,110.0,0.0,0,1600,4,1035
855,8950,62.0,64966.0,Petrol,86.0,,0,1300,3,1020
857,8500,60.0,64914.0,,110.0,,0,1600,5,1070
863,8200,60.0,64383.0,Petrol,86.0,,0,1300,3,1015
864,8950,68.0,64000.0,Petrol,110.0,,0,1600,5,1075
869,10450,,63000.0,Petrol,86.0,0.0,1,1300,3,1050
876,8750,66.0,62135.0,Petrol,86.0,,0,1300,5,1035
879,9950,62.0,61930.0,Petrol,110.0,,0,1600,4,1035
890,7950,60.0,61100.0,,86.0,1.0,0,1300,3,1015
892,9450,57.0,61000.0,Petrol,110.0,,0,1600,3,1050
896,8250,,60000.0,Petrol,86.0,0.0,1,1300,4,1030
898,8950,65.0,60000.0,,86.0,1.0,0,1300,3,1015
899,9500,62.0,59295.0,,86.0,0.0,0,1300,5,1035
905,9950,65.0,59000.0,,110.0,0.0,0,1600,3,1050
910,8950,60.0,58269.0,Petrol,110.0,,0,1600,3,1050
916,7950,68.0,57565.0,Petrol,86.0,,0,1300,5,1035
922,9950,63.0,57000.0,Petrol,110.0,,0,1600,3,1050
932,10350,,55085.0,Petrol,107.0,0.0,1,1600,5,1105
939,10250,60.0,54554.0,Petrol,110.0,,0,1600,3,1065
946,11500,65.0,53053.0,,110.0,1.0,0,1600,5,1075
948,7750,,53000.0,Petrol,86.0,0.0,0,1300,3,1015
958,8950,65.0,51000.0,,86.0,1.0,0,1300,3,1015
964,10950,65.0,49942.0,,110.0,0.0,0,1600,3,1065
971,10495,68.0,47500.0,Petrol,86.0,,0,1300,5,1035
972,9500,,47237.0,Petrol,110.0,0.0,0,1600,3,1050
975,8950,65.0,47014.0,Petrol,86.0,,0,1300,3,1015
977,8900,,46000.0,Petrol,86.0,0.0,0,1300,5,1035
979,8750,65.0,45549.0,Petrol,86.0,,0,1300,3,1015
981,9750,57.0,45000.0,,110.0,1.0,0,1600,3,1050
986,8250,63.0,44944.0,Petrol,110.0,,0,1600,4,1035
987,9950,61.0,44597.0,Petrol,86.0,,0,1300,3,1015
988,9995,,44458.0,Petrol,86.0,0.0,0,1300,3,1015
991,7950,,43000.0,,110.0,,1,1600,4,1114
994,7750,64.0,43000.0,Petrol,86.0,,0,1300,3,1015
995,9950,68.0,42750.0,,110.0,,0,1600,3,1050
996,9950,67.0,42102.0,Petrol,110.0,,0,1600,5,1075
998,9900,64.0,41200.0,Petrol,110.0,,0,1600,5,1070
1001,8950,66.0,39222.0,,86.0,1.0,1,1300,3,1045
1005,9750,,37759.0,Petrol,110.0,1.0,0,1600,5,1070
1014,10450,65.0,36000.0,Petrol,110.0,,0,1600,3,1065
1026,10750,,31480.0,Petrol,110.0,1.0,0,1600,3,1065
1031,10750,60.0,28500.0,,86.0,1.0,1,1300,3,1045
1033,10000,57.0,28000.0,Petrol,86.0,,0,1300,3,1015
1035,12500,62.0,26000.0,Petrol,107.0,,1,1600,3,1085
1039,10950,59.0,22705.0,,110.0,1.0,0,1600,5,1075
1040,9500,,22178.0,Petrol,86.0,1.0,0,1300,3,1015
1041,10900,62.0,17345.0,,110.0,1.0,0,1600,3,1050
1042,10950,67.0,15535.0,Petrol,86.0,,1,1300,4,1030
1049,6750,77.0,,Diesel,72.0,1.0,0,2000,4,1100
1054,8750,78.0,180378.0,,72.0,1.0,0,2000,4,1100
1056,5950,73.0,176177.0,Petrol,110.0,,0,1600,5,1075
1058,10500,77.0,172980.0,Diesel,72.0,,0,2000,5,1135
1061,5800,78.0,161775.0,Petrol,86.0,,0,1300,3,1015
1074,6900,69.0,146304.0,Diesel,72.0,,0,2000,3,1115
1079,8950,,138500.0,Petrol,86.0,0.0,0,1300,5,1050
1082,8600,,134889.0,Diesel,72.0,1.0,0,2000,3,1115
1084,7750,73.0,134539.0,Petrol,110.0,,0,1600,5,1070
1086,6950,77.0,131307.0,Petrol,110.0,,0,1600,3,1050
1088,6500,78.0,130000.0,Petrol,86.0,,0,1300,5,1015
1090,9250,80.0,128351.0,,110.0,1.0,0,1600,5,1070
1099,7950,,124591.0,Petrol,110.0,1.0,0,1600,5,1075
1103,7950,74.0,123077.0,Petrol,86.0,,0,1300,3,1015
1107,7250,,121545.0,Petrol,110.0,1.0,0,1600,5,1070
1108,8250,71.0,120474.0,Diesel,72.0,,0,2000,3,1115
1115,6500,,115157.0,Petrol,110.0,1.0,0,1600,3,1050
1120,7350,72.0,,Petrol,86.0,1.0,0,1300,3,1015
1121,7750,73.0,111602.0,Petrol,86.0,,0,1300,3,1015
1128,7500,,109263.0,Petrol,110.0,0.0,0,1600,5,1070
1129,7750,71.0,107516.0,Petrol,110.0,,0,1600,3,1050
1134,7750,72.0,106108.0,Petrol,110.0,,0,1600,3,1050
1169,9250,,96000.0,Petrol,110.0,1.0,0,1600,5,1085
1173,6950,79.0,95000.0,,86.0,1.0,0,1300,5,1035
1175,9950,,94079.0,Petrol,110.0,1.0,0,1600,5,1085
1176,9250,,93841.0,Petrol,110.0,0.0,0,1600,5,1070
1177,7200,79.0,93090.0,,86.0,1.0,0,1300,5,1035
1180,8250,77.0,93000.0,,110.0,1.0,0,1600,5,1075
1187,7450,75.0,91082.0,Petrol,110.0,,0,1600,3,1050
1192,6750,77.0,90000.0,,86.0,1.0,0,1300,3,1015
1198,7450,,89507.0,Petrol,86.0,0.0,0,1300,3,1015
1201,7850,72.0,88500.0,Petrol,110.0,,0,1600,5,1075
1207,7450,,87083.0,Petrol,110.0,0.0,0,1600,4,1035
1208,7950,70.0,87000.0,Petrol,110.0,,0,1600,4,1035
1210,7950,,87000.0,Petrol,86.0,1.0,0,1300,3,1015
1214,8750,79.0,86000.0,,86.0,1.0,0,1300,5,1040
1226,6950,,84000.0,Petrol,110.0,0.0,0,1600,5,1075
1229,8700,75.0,83850.0,Petrol,110.0,,0,1600,3,1055
1230,8950,,83540.0,Petrol,110.0,1.0,0,1600,5,1070
1234,8950,71.0,83047.0,,86.0,1.0,1,1300,3,1045
1236,7450,,82675.0,Petrol,86.0,0.0,0,1300,3,1015
1237,5950,78.0,82595.0,,86.0,1.0,0,1300,3,1015
1241,8950,71.0,82000.0,,110.0,1.0,0,1600,5,1075
1243,7750,76.0,81930.0,Petrol,110.0,,0,1600,5,1070
1244,6950,70.0,81663.0,,110.0,0.0,0,1600,3,1050
1245,7990,77.0,80486.0,Petrol,,1.0,0,1600,5,1070
1249,7250,,78689.0,Petrol,110.0,0.0,0,1600,4,1035
1252,7950,72.0,78120.0,,110.0,1.0,0,1600,5,1075
1253,6950,77.0,77000.0,Petrol,86.0,,0,1300,3,1015
1254,8000,,77000.0,Petrol,110.0,0.0,0,1600,3,1050
1255,7950,75.0,76382.0,Petrol,110.0,,0,1600,3,1055
1258,8250,80.0,76000.0,Petrol,110.0,,0,1600,3,1050
1273,5950,,74567.0,Petrol,86.0,1.0,0,1300,3,1015
1274,9000,80.0,74196.0,Petrol,110.0,,0,1600,5,1075
1281,7400,,73460.0,Petrol,110.0,1.0,0,1600,5,1070
1284,8950,,73014.0,Petrol,110.0,,0,1600,5,1075
1297,5950,79.0,71263.0,Petrol,86.0,,0,1300,3,1015
1306,7500,76.0,70039.0,,110.0,1.0,0,1600,3,1050
1310,9250,78.0,69000.0,Petrol,110.0,,0,1600,5,1075
1312,9950,,68945.0,Petrol,110.0,1.0,0,1600,5,1085
1314,7995,,68000.0,,110.0,1.0,0,1600,5,1075
1315,8950,,68000.0,Petrol,86.0,1.0,1,1300,3,1045
1317,8250,,67266.0,Petrol,86.0,1.0,0,1300,5,1035
1320,9400,69.0,67092.0,Diesel,72.0,,0,2000,3,1115
1330,8950,71.0,65021.0,Diesel,72.0,,0,2000,3,1115
1334,6999,71.0,64000.0,Petrol,110.0,,0,1600,5,1070
1336,8500,79.0,63918.0,,110.0,,0,1600,4,1035
1339,9000,,63266.0,Petrol,110.0,1.0,0,1600,4,1035
1353,8250,80.0,60476.0,Petrol,110.0,,0,1600,5,1114
1359,8750,80.0,59326.0,Petrol,110.0,,0,1600,5,1085
1364,7500,74.0,58454.0,,86.0,1.0,0,1300,3,1015
1375,7750,,57000.0,Petrol,86.0,0.0,0,1300,4,1000
1376,7800,,56566.0,Petrol,110.0,1.0,0,1600,3,1050
1379,7750,,56132.0,Petrol,110.0,0.0,0,1600,4,1035
1388,8750,75.0,52000.0,Petrol,110.0,,0,1600,5,1075
1392,7500,79.0,49827.0,Petrol,86.0,,0,1300,5,1035
1393,7250,69.0,49640.0,,110.0,1.0,0,1600,4,1035
1394,7450,80.0,49580.0,,110.0,1.0,0,1600,4,1035
1395,8750,76.0,49170.0,,86.0,,0,1300,3,1045
1402,10500,,47400.0,Petrol,86.0,1.0,0,1300,5,1040
1403,7000,73.0,47360.0,,86.0,0.0,0,1300,3,1010
1408,9250,,44444.0,Petrol,110.0,1.0,0,1600,3,1050
1409,7900,75.0,43720.0,Petrol,110.0,,0,1600,5,1070
1415,6950,72.0,42000.0,Petrol,110.0,,0,1600,3,1050
1416,8950,,40093.0,Petrol,110.0,0.0,0,1600,5,1114
1418,7750,73.0,39168.0,Petrol,86.0,,0,1300,3,1015
1419,8450,75.0,38945.0,Petrol,110.0,,0,1600,3,1050
1420,8150,76.0,36537.0,,110.0,0.0,1,1600,4,1075
1421,8500,78.0,,Petrol,86.0,0.0,1,1300,3,1045
1422,7600,,36000.0,,110.0,1.0,0,1600,3,1050
1425,7950,80.0,,Petrol,86.0,1.0,0,1300,4,1000
1426,9950,78.0,30964.0,Petrol,110.0,,1,1600,3,1080
1427,8950,,29000.0,Petrol,86.0,1.0,1,1300,3,1045
1428,8450,72.0,,Petrol,86.0,,0,1300,3,1015
1431,7500,,20544.0,Petrol,86.0,1.0,0,1300,3,1025
1432,10845,72.0,,Petrol,86.0,0.0,0,1300,3,1015
1433,8500,,17016.0,Petrol,86.0,0.0,0,1300,3,1015
1434,7250,70.0,,,86.0,1.0,0,1300,3,1015
